Variable,N,Mean,SD,Min,Median,Max
Food share,"45,615",0.162,0.095,0.001,0.144,0.787
Alcohol & Tobacco share,"45,615",0.031,0.055,0.000,0.009,0.848
Clothing share,"45,614",0.039,0.060,0.000,0.014,0.759
Housing & Utilities share,"45,567",0.196,0.164,0.000,0.136,0.962
Furnishings share,"45,615",0.068,0.100,0.000,0.030,0.940
Health share,"45,614",0.015,0.046,0.000,0.001,0.896
Transport share,"45,614",0.142,0.134,0.000,0.109,0.911
Communication share,"45,615",0.051,0.040,0.000,0.042,0.741
Recreation share,"45,615",0.123,0.123,0.000,0.084,0.958
Education share,"45,615",0.005,0.042,0.000,0.000,0.921
Restaurants share,"45,615",0.081,0.086,0.000,0.058,0.808
Misc. Goods share,"45,615",0.087,0.075,0.000,0.069,0.921
Gross weekly income (£),"45,615",714.8,448.6,-1268.4,619.6,2198.1
Equivalised income (£/wk),"45,478",698.4,415.4,0.0,608.7,2834.6
Survey weight,"45,615",5.5,2.8,0.0,5.0,37.4
